Symbol,Date,Open,High,Low,Close,Volume
AAIT,27-Jan-2015,34.55,34.97,34.54,34.77,28800
AAL,27-Jan-2015,53.99,54.52,52.54,52.69,19810700
AAME,27-Jan-2015,3.97,3.99,3.97,3.99,700
AAOI,27-Jan-2015,9.12,9.49,9.05,9.41,194700
AAON,27-Jan-2015,22.53,22.89,22.24,22.83,83800
AAPL,27-Jan-2015,112.42,112.48,109.03,109.14,95568700
AAVL,27-Jan-2015,42.61,43.46,41.85,42.05,361500
AAWW,27-Jan-2015,46.56,47.16,45.64,46.72,144700
AAXJ,27-Jan-2015,63.53,63.72,63.33,63.55,1271400
ABAC,27-Jan-2015,1.43,1.52,1.33,1.52,4900
ABAX,27-Jan-2015,58.49,60.62,58.49,60.51,283300
ABCB,27-Jan-2015,23.92,23.92,23.39,23.5,66300
ABCD,27-Jan-2015,2.6,2.6,2.53,2.55,13800
ABCO,27-Jan-2015,47.6,48.02,46.93,47.1,302800
ABCW,27-Jan-2015,34.41,34.41,32.5,33.73,9500
ABDC,27-Jan-2015,12.86,13.02,12.86,12.96,16800
ABGB,27-Jan-2015,15.54,15.68,15.45,15.57,55900
ABIO,27-Jan-2015,0.76,0.78,0.73,0.76,263400
ABMD,27-Jan-2015,38.89,39.86,38.54,38.63,401000
ABTL,27-Jan-2015,10.41,10.64,9.76,9.8,92100
ABY,27-Jan-2015,34.65,36.35,34,34.99,663600
ACAD,27-Jan-2015,31.62,32.17,31.61,31.7,1647400
ACAS,27-Jan-2015,14.38,14.59,14.33,14.48,1086900
ACAT,27-Jan-2015,28.87,29.81,28.29,29.71,544800
ACET,27-Jan-2015,19.34,19.85,19.21,19.57,104900
ACFC,27-Jan-2015,3.7,3.71,3.63,3.65,22600
ACFN,27-Jan-2015,0.49,0.53,0.49,0.51,72700
ACGL,27-Jan-2015,59.28,60.48,59.05,59.86,459800
ACHC,27-Jan-2015,60.36,61.33,60.05,60.67,245500
ACHN,27-Jan-2015,15.24,15.98,15.2,15.42,4844100
ACIW,27-Jan-2015,18.89,19.06,18.56,18.67,693200
ACLS,27-Jan-2015,2.45,2.48,2.41,2.43,166900
ACNB,27-Jan-2015,20.7,20.7,20.67,20.7,500
ACOR,27-Jan-2015,44.08,44.3,43.33,43.7,412700
ACPW,27-Jan-2015,1.8,1.8,1.78,1.8,12800
ACRX,27-Jan-2015,6.71,7.23,6.64,7.11,498400
ACSF,27-Jan-2015,12.13,12.3,12.13,12.21,24200
ACST,27-Jan-2015,0.49,0.49,0.46,0.49,37800
ACTA,27-Jan-2015,16.23,16.61,16.08,16.46,82100
ACTG,27-Jan-2015,13.23,13.36,13.18,13.22,821100
ACTS,27-Jan-2015,1.93,1.95,1.9,1.91,26900
ACUR,27-Jan-2015,0.52,0.56,0.51,0.56,118500
ACWI,27-Jan-2015,58.82,59.02,58.48,58.75,1824800
ACWX,27-Jan-2015,43.64,43.87,43.52,43.76,836200
ACXM,27-Jan-2015,19.01,19.26,18.42,18.92,398700
ADAT,27-Jan-2015,0.73,0.74,0.73,0.73,16200
ADBE,27-Jan-2015,71.71,72.36,71.06,71.46,1798600
ADEP,27-Jan-2015,9.01,9.2,8.82,9.07,53200
ADES,27-Jan-2015,19.58,20.03,19.4,19.57,94400
ADHD,27-Jan-2015,6.48,6.91,6.23,6.73,205700
ADI,27-Jan-2015,53.92,54.11,53.1,53.37,1963300
ADMA,27-Jan-2015,11,11.24,10.75,11,3500
ADMP,27-Jan-2015,6.18,6.45,6.15,6.43,220700
ADMS,27-Jan-2015,16.88,17.25,16.88,17.05,86800
ADNC,27-Jan-2015,4.37,4.46,4.23,4.4,104500
ADP,27-Jan-2015,85.71,86.44,84.78,85.63,1697200
ADRA,27-Jan-2015,29.22,29.43,29.22,29.31,2300
ADRD,27-Jan-2015,22.69,22.92,22.69,22.88,53100
ADRE,27-Jan-2015,36.75,37.26,36.75,37.15,11600
ADRU,27-Jan-2015,22.74,22.74,22.74,22.74,400
ADSK,27-Jan-2015,57.56,57.76,55.54,56.15,1963300
ADTN,27-Jan-2015,21.8,22.37,21.76,22.32,571500
ADUS,27-Jan-2015,23.17,23.57,22.9,23.09,48900
ADVS,27-Jan-2015,37.48,38.05,36.94,37.9,488600
ADXS,27-Jan-2015,8.15,10.19,7.8,9.89,5370700
ADXSW,27-Jan-2015,4.85,6.13,4.41,5.67,115300
AEGN,27-Jan-2015,15.98,16.18,15.85,16.12,182100
AEGR,27-Jan-2015,24.61,25.14,24.5,24.64,471800
AEHR,27-Jan-2015,2.37,2.65,2.21,2.44,24000
AEIS,27-Jan-2015,24.68,25.03,24.13,24.67,210200
AEPI,27-Jan-2015,52.52,53.61,52.17,53.02,8600
AERI,27-Jan-2015,29.63,30.05,29.25,29.6,130400
AETI,27-Jan-2015,4.63,4.8,4.13,4.5,45100
AEY,27-Jan-2015,2.35,2.37,2.35,2.35,2700
AEZS,27-Jan-2015,0.55,0.55,0.51,0.52,463900
AFAM,27-Jan-2015,30.9,32.18,30.85,31.7,64200
AFFX,27-Jan-2015,10.83,11.29,10.8,11.07,1350300
AFH,27-Jan-2015,17.26,17.63,17.06,17.55,43500
AFMD,27-Jan-2015,5.3,5.91,5.18,5.66,32100
AFOP,27-Jan-2015,14.6,15.25,14.53,15.05,141300
AFSI,27-Jan-2015,51.76,52.35,51.42,51.84,441800
AGEN,27-Jan-2015,5.2,5.39,5.13,5.26,1147100
AGII,27-Jan-2015,53.52,54.67,53.51,54.1,54100
AGIIL,27-Jan-2015,25.02,25.25,25.02,25.06,16200
AGIO,27-Jan-2015,125.66,129.33,123.52,126.14,379400
AGNC,27-Jan-2015,21.94,22.04,21.87,21.91,2127900
AGNCB,27-Jan-2015,25.06,25.14,25.06,25.13,10900
AGNCP,27-Jan-2015,26.63,26.79,26.45,26.74,6500
