Symbol,Date,Open,High,Low,Close,Volume
AAIT,28-Jan-2015,34.78,34.81,34.54,34.54,600
AAL,28-Jan-2015,52.79,53.7,50.3,50.62,17064700
AAME,28-Jan-2015,3.9,4,3.9,4,2500
AAOI,28-Jan-2015,9.38,9.4,8.94,9.08,235700
AAON,28-Jan-2015,22.96,22.96,22.06,22.23,112700
AAPL,28-Jan-2015,117.63,118.12,115.31,115.31,146477000
AAVL,28-Jan-2015,42.07,43.14,39.62,41.01,395800
AAWW,28-Jan-2015,47.13,47.13,45.17,45.53,136800
AAXJ,28-Jan-2015,63.67,63.81,62.99,63.09,806200
ABAC,28-Jan-2015,1.53,1.6,1.52,1.6,23500
ABAX,28-Jan-2015,60.65,60.99,59.82,59.94,468100
ABCB,28-Jan-2015,23.61,23.64,22.71,22.75,78300
ABCD,28-Jan-2015,2.51,2.55,2.45,2.54,16400
ABCO,28-Jan-2015,47.25,47.87,45.92,46.27,406800
ABCW,28-Jan-2015,33.82,33.82,33,33.01,3800
ABDC,28-Jan-2015,12.96,13.03,12.88,12.98,30300
ABGB,28-Jan-2015,15.49,15.54,15.2,15.24,66300
ABIO,28-Jan-2015,0.76,0.77,0.71,0.71,84600
ABMD,28-Jan-2015,53.48,53.89,49.19,49.94,3598900
ABTL,28-Jan-2015,9.89,10.5,9.5,9.58,40700
ABY,28-Jan-2015,35.1,35.37,34.23,34.47,575600
ACAD,28-Jan-2015,32.67,32.69,30.84,31.22,2472500
ACAS,28-Jan-2015,14.57,14.69,14.23,14.24,1369300
ACAT,28-Jan-2015,26.81,31.72,26,29.96,1320300
ACET,28-Jan-2015,19.6,19.99,19.31,19.88,148600
ACFC,28-Jan-2015,3.7,3.7,3.67,3.67,400
ACFN,28-Jan-2015,0.53,0.54,0.48,0.49,82300
ACGL,28-Jan-2015,60.17,60.33,59.21,59.26,438600
ACHC,28-Jan-2015,61.12,61.9,58.93,59.08,183400
ACHN,28-Jan-2015,15.58,15.7,14.55,14.81,4263800
ACIW,28-Jan-2015,18.85,18.85,18.4,18.47,448000
ACLS,28-Jan-2015,2.44,2.48,2.4,2.44,229500
ACNB,28-Jan-2015,20.7,20.7,20.7,20.7,100
ACOR,28-Jan-2015,44.12,44.16,42.45,42.54,495000
ACPW,28-Jan-2015,1.72,1.79,1.72,1.79,35900
ACRX,28-Jan-2015,7.18,7.18,6.88,6.97,417700
ACSF,28-Jan-2015,12.25,12.26,12.15,12.2,23500
ACST,28-Jan-2015,0.5,0.5,0.45,0.46,25900
ACTA,28-Jan-2015,16.61,16.61,15.88,16,202300
ACTG,28-Jan-2015,13.25,13.34,12.76,13.04,1020900
ACTS,28-Jan-2015,1.91,1.93,1.9,1.93,21000
ACUR,28-Jan-2015,0.58,0.59,0.52,0.54,79700
ACWI,28-Jan-2015,59.02,59.02,57.94,57.97,3868100
ACWX,28-Jan-2015,43.82,43.82,43.09,43.13,594000
ACXM,28-Jan-2015,19.1,19.22,18.36,18.43,591000
ADAT,28-Jan-2015,0.77,0.77,0.72,0.72,3700
ADBE,28-Jan-2015,71.54,71.84,70.07,70.25,2281000
ADEP,28-Jan-2015,9.11,9.3,8.94,9.02,53800
ADES,28-Jan-2015,19.61,19.63,18.79,19.02,119400
ADHD,28-Jan-2015,6.8,6.95,6.05,6.21,151700
ADI,28-Jan-2015,53.8,54.32,52.83,52.92,1687700
ADMA,28-Jan-2015,11.3,11.3,10.38,10.82,28200
ADMP,28-Jan-2015,6.47,6.99,6.47,6.85,262200
ADMS,28-Jan-2015,17.1,17.24,16.33,17.03,106900
ADNC,28-Jan-2015,4.43,4.43,4.08,4.13,159400
ADP,28-Jan-2015,85.86,86.3,84.46,84.53,2136900
ADRA,28-Jan-2015,29.26,29.26,29.1,29.13,400
ADRD,28-Jan-2015,22.9,22.9,22.43,22.44,73900
ADRE,28-Jan-2015,37,37,36.35,36.35,15600
ADRU,28-Jan-2015,22.52,22.54,22.36,22.36,4100
ADSK,28-Jan-2015,56.34,56.69,54.49,54.59,2177200
ADTN,28-Jan-2015,22.56,22.78,22.36,22.36,861900
ADUS,28-Jan-2015,23.17,23.21,22.67,22.73,28500
ADVS,28-Jan-2015,38.25,42.85,37.75,41.63,3458800
ADXS,28-Jan-2015,10.86,11.08,9.1,9.16,4234300
ADXSW,28-Jan-2015,6.5,6.9,5.3,5.34,86500
AEGN,28-Jan-2015,16.14,16.17,15.64,15.69,257000
AEGR,28-Jan-2015,24.7,24.88,23.02,23.16,835800
AEHR,28-Jan-2015,2.54,2.64,2.48,2.52,22900
AEIS,28-Jan-2015,24.85,24.98,24.08,24.44,281800
AEPI,28-Jan-2015,53.07,53.07,50.72,50.97,11100
AERI,28-Jan-2015,29.82,29.82,28.54,28.67,152400
AETI,28-Jan-2015,4.31,5.35,4.31,5.35,30700
AEY,28-Jan-2015,2.33,2.38,2.32,2.35,15600
AEZS,28-Jan-2015,0.52,0.54,0.51,0.53,166800
AFAM,28-Jan-2015,31.91,32.05,30.69,30.78,27500
AFCB,28-Jan-2015,24.5,24.5,24.5,24.5,3000
AFFX,28-Jan-2015,11.15,11.24,10.8,10.92,1115300
AFH,28-Jan-2015,17.55,17.72,17.37,17.39,35300
AFMD,28-Jan-2015,5.7,6.17,5.42,6.09,73400
AFOP,28-Jan-2015,15.22,15.25,14.57,14.7,105500
AFSI,28-Jan-2015,52.22,52.59,51.58,51.67,668500
AGEN,28-Jan-2015,5.25,5.35,5.02,5.06,1091700
