Symbol,Date,Open,High,Low,Close,Volume
AAIT,21-Jan-2015,34.12,34.46,34.12,34.21,5200
AAL,21-Jan-2015,52.65,54,51.95,53.67,12882200
AAME,21-Jan-2015,3.99,3.99,3.99,3.99,0
AAOI,21-Jan-2015,8.62,8.89,8.56,8.74,144500
AAON,21-Jan-2015,21.5,21.81,21.44,21.6,88300
AAPL,21-Jan-2015,108.95,111.06,108.27,109.55,48575900
AAVL,21-Jan-2015,47.3,47.63,39.93,41.61,726500
AAWW,21-Jan-2015,46.18,47.01,45.37,45.71,257100
AAXJ,21-Jan-2015,62.58,63.07,62.42,63.07,2593100
ABAC,21-Jan-2015,1.4,1.49,1.4,1.49,1700
ABAX,21-Jan-2015,60.13,61,58.87,59.1,171300
ABCB,21-Jan-2015,23.24,23.66,22.91,23.01,74800
ABCD,21-Jan-2015,2.11,2.41,2.11,2.29,175600
ABCO,21-Jan-2015,46.99,46.99,44.11,44.33,682700
ABCW,21-Jan-2015,33.81,34.89,33.81,33.81,1900
ABDC,21-Jan-2015,12.97,13.08,12.67,12.84,71800
ABGB,21-Jan-2015,16.15,16.47,16.06,16.38,40800
ABIO,21-Jan-2015,0.73,0.73,0.71,0.73,152000
ABMD,21-Jan-2015,37.69,38.45,37.45,37.81,246500
ABTL,21-Jan-2015,9,9.29,8.8,9.1,174700
ABY,21-Jan-2015,31.63,32.68,31.41,32.38,484700
ACAD,21-Jan-2015,32.85,33.21,31.85,32.47,1116800
ACAS,21-Jan-2015,14.27,14.47,14.2,14.35,899100
ACAT,21-Jan-2015,34.08,34.15,33.24,33.67,150400
ACET,21-Jan-2015,19.94,20.29,19.78,19.79,83100
ACFC,21-Jan-2015,3.99,3.99,3.8,3.8,5200
ACFN,21-Jan-2015,0.51,0.54,0.48,0.51,217900
ACGL,21-Jan-2015,58.52,59.22,58.38,58.95,386300
ACHC,21-Jan-2015,58.57,59.35,58.05,58.13,273700
ACHN,21-Jan-2015,14.63,15.33,14.6,14.89,5842100
ACIW,21-Jan-2015,18.17,18.53,18.14,18.2,416900
ACLS,21-Jan-2015,2.48,2.54,2.45,2.47,528200
ACNB,21-Jan-2015,20.1,21,19.8,21,2900
ACOR,21-Jan-2015,43.9,44.17,42.53,42.82,275100
ACPW,21-Jan-2015,1.74,1.8,1.74,1.8,33800
ACRX,21-Jan-2015,6.79,6.8,6.45,6.48,435800
ACSF,21-Jan-2015,12.26,12.26,12.1,12.25,29600
ACST,21-Jan-2015,0.49,0.52,0.47,0.47,116100
ACTA,21-Jan-2015,16.98,17.39,16.83,17.01,68200
ACTG,21-Jan-2015,12.46,14.3,12.11,13.39,2671800
ACTS,21-Jan-2015,1.93,1.98,1.93,1.98,12700
ACUR,21-Jan-2015,0.58,0.6,0.57,0.58,63600
ACWI,21-Jan-2015,58.1,58.52,57.88,58.44,3439300
ACWX,21-Jan-2015,42.96,43.27,42.87,43.27,846800
ACXM,21-Jan-2015,18.2,18.59,17.98,18.11,436900
ADAT,21-Jan-2015,0.82,0.84,0.73,0.74,39000
ADBE,21-Jan-2015,71.16,71.89,70.37,71.54,1787800
